# start	end	source
00:14:17	00:15:45	video:../renders/readonly-remotion-dev.mp4
00:15:45	00:16:42	video:../renders/oop-constructs-remotion-dev.mp4
00:16:42	00:20:59	video:../renders/questions-03-05-remotion-dev.mp4
00:20:59	00:21:23	06-enum
00:21:37	00:21:42	07-question
00:21:42	00:22:16	07-graph
00:22:16	00:22:37	07-compile
00:22:37	00:23:00	07-tradeoff
00:23:09	00:23:37	08-question
00:23:37	00:24:43	08-axes
00:24:43	00:26:24	08-rules
00:26:26	00:26:39	09-question
00:26:39	00:27:13	09-subscriber
00:27:13	00:27:49	09-middleware
00:27:49	00:28:23	09-decorator
00:28:26	00:28:51	10-question
00:28:51	00:29:20	10-bus
00:29:20	00:29:57	10-middleware
00:30:11	00:31:17	11-question
00:31:17	00:31:28	11-pull-push
00:31:55	00:32:27	11-symfony
00:32:27	00:33:38	11-runtime
00:34:50	00:34:53	12-question
00:34:53	00:35:02	12-compile
00:35:59	00:36:04	13-question
00:36:04	00:36:33	13-persist
00:36:33	00:36:43	13-flush-listener
00:36:43	00:36:51	13-flush-audit
00:36:51	00:36:58	13-flush-result
00:36:58	00:37:07	13-clear
00:37:07	00:37:32	13-clear-batch
00:37:32	00:37:45	14-question
00:37:45	00:37:53	14-identity
00:37:53	00:37:59	14-layers
00:37:59	00:38:01	14-boundary
00:38:01	00:38:05	15-question
00:38:05	00:38:11.07	15-lazy
00:38:11.07	00:38:20	15-n-plus-one
00:38:20	00:38:25	15-fetch-join
00:38:25	00:38:52	15-extra-lazy
00:38:38	00:38:52	16-question
00:38:52	00:39:13	16-implicit
00:39:13	00:40:01	16-explicit
00:39:54	00:40:22	17-question
00:40:22	00:40:44	17-size
00:40:44	00:41:46	17-before-db
00:41:46	00:42:47	17-distributed
00:42:47	00:43:31	18-tradeoff
00:43:31	00:43:54	18-access
00:43:54	00:44:05	18-forms
00:44:05	00:45:03	19-question
00:45:03	00:45:42	19-rule
00:45:42	00:46:54	20-levels
00:46:54	00:47:28	20-usecase
00:47:28	00:48:03	20-criterion
00:48:10	00:48:38	21-direct
00:48:38	00:48:47	21-boundary
00:48:47	00:49:09	22-entity
00:49:09	00:49:29	22-dto
00:49:29	00:49:37	22-correction
00:49:37	00:50:34	23-question
00:50:34	00:51:01	23-boundary
00:51:01	00:51:32	23-deployment
00:51:32	00:52:42	23-monolith
00:52:42	00:53:01	24-question
00:53:01	00:53:19	24-dependency
00:53:35	00:53:59	25-classes
00:53:59	00:54:14	25-aside
00:54:14	00:54:50	25-writes
00:54:50	00:55:21	25-choice
00:56:36	00:57:21	26-auth
00:57:29	00:57:39	27-jwt
00:57:39	00:58:03	28-query
00:58:03	00:58:48	29-so
00:58:48	00:59:31	29-lsp
00:59:31	01:00:04	29-id
01:00:04	01:00:41	29-tradeoff
01:00:41	01:01:08	30-basics
01:01:08	01:01:48	30-copy
01:01:48	01:02:13	30-criterion
01:18:04	01:18:41	32-uses
01:18:41	01:19:20	32-risk
01:19:20	01:20:06	32-loop
01:20:06	01:20:59	32-readable
