# slide_id	review_start	review_end
18-question	00:28:13	00:28:20
20-question	00:30:35	00:31:21
19-question	00:29:13	00:29:41
21-question	00:32:41	00:32:48
22-question	00:33:24	00:33:28
23-question	00:34:43	00:35:03
24-question	00:37:17	00:37:26
25-question	00:38:04	00:38:10
25-aside-question	00:38:12	00:38:17
25-aside	00:38:38	00:38:43
26-question	00:41:10	00:41:15
28-question	00:41:55	00:42:14
28-telegram	00:42:20	00:42:26
29-question	00:42:26	00:42:33
29-id	00:43:52	00:44:31
29-required-question	00:44:31	00:44:35
30-question	00:45:27	00:45:35
30-criterion	00:46:05	00:46:49
